cpu_utilization,memory_utilization,storage_gb,data_transfer_gb,duration_hours,pue,carbon_intensity_gco2_kwh,instance_tdp_watts,workload_type,aws_region,co2_emissions_kg
50.25,93.7,5.76,27.372,3.337,1.111,430,148.8,EC2,ap-southeast-1,0.831269
29.0,57.69,552.2,40.124,8.2925,1.459,320,122.1,EC2,eu-central-1,0.913486
40.95,70.91,0.0,39.208,24.0,1.276,90,125.9,RDS,sa-east-1,0.354797
97.23,67.91,231.14,52.125,5.5678,1.294,320,143.5,EC2,eu-central-1,1.291476
24.44,27.89,2.36,0.674,0.0173,1.274,270,39.5,Lambda,eu-west-1,0.01077
72.54,27.82,374.29,68.821,4.654,1.297,90,76.8,EC2,sa-east-1,0.410736
55.24,76.76,164.12,51.349,12.7457,1.317,450,118.6,EC2,ap-northeast-1,1.948798
32.74,98.68,365.97,38.074,24.0,1.206,320,142.6,RDS,eu-central-1,1.229709
8.01,19.91,752.73,82.153,38.1635,1.424,90,1.0,S3,sa-east-1,0.476289
28.58,15.67,1698.03,96.174,28.4729,1.293,450,11.0,S3,ap-northeast-1,3.099731
41.72,84.48,154.65,29.886,15.8502,1.268,430,27.8,EC2,ap-southeast-1,0.868784
54.04,82.88,213.33,0.0,10.4634,1.249,100,196.3,EC2,ca-central-1,0.145501
41.74,,4.28,0.622,0.0103,1.298,430,34.7,Lambda,ap-southeast-1,0.016251
86.5,32.78,2.78,0.453,0.0027,1.187,270,39.8,Lambda,eu-west-1,0.007299
1.0,42.25,2.74,0.943,0.0149,1.434,320,35.7,Lambda,eu-central-1,0.018506
52.35,58.67,35.4,38.523,9.4774,1.34,430,133.1,EC2,ap-southeast-1,1.404937
5.95,43.78,238.91,37.559,7.7226,1.532,380,143.5,EC2,us-east-1,0.930863
47.81,28.74,2.54,0.818,0.0032,1.535,270,14.0,Lambda,eu-west-1,0.01315
49.85,100.0,550.99,37.299,24.0,1.473,100,104.6,RDS,ca-central-1,0.428117
48.32,92.34,397.31,0.0,24.0,1.523,100,135.1,RDS,ca-central-1,0.253948
17.0,1.0,1785.24,63.228,34.6756,1.348,120,7.6,S3,us-west-2,0.580203
60.93,69.91,67.64,18.156,24.0,1.341,430,116.1,RDS,ap-southeast-1,1.42693
3.99,24.88,2644.07,37.226,21.6745,1.296,90,13.7,S3,sa-east-1,0.282095
45.49,45.32,171.27,31.437,0.8296,1.1,120,116.5,EC2,us-west-2,0.235091
65.29,81.68,89.54,44.488,4.8982,1.284,120,201.1,EC2,us-west-2,0.419926
9.3,,1.01,0.509,0.0143,1.466,320,8.1,Lambda,eu-central-1,0.009789
85.48,15.78,171.96,28.805,3.4773,1.223,120,101.4,EC2,us-west-2,0.250206
31.91,73.27,696.09,6.89,24.0,1.35,380,136.4,RDS,us-east-1,0.802663
28.99,66.64,3.4,0.107,0.0067,1.12,100,26.1,Lambda,ca-central-1,0.000667
73.83,53.49,106.1,20.452,5.7095,1.3,380,135.7,EC2,us-east-1,0.74314
1.0,26.85,1189.86,60.943,23.3207,1.263,90,12.0,S3,sa-east-1,0.375627
44.35,96.78,85.74,15.886,12.6651,1.23,120,247.2,EC2,us-west-2,0.320033
45.83,54.48,29.13,36.694,11.9887,1.684,320,58.5,EC2,eu-central-1,0.85609
1.0,22.96,2.77,0.283,0.0155,1.642,90,37.6,Lambda,sa-east-1,0.001521
44.24,36.79,1.88,0.534,0.0179,1.279,100,34.9,Lambda,ca-central-1,0.003175
66.77,69.78,254.12,23.245,0.001,1.464,430,212.1,EC2,ap-southeast-1,0.611204
8.24,1.0,0.0,50.642,17.2516,1.321,90,15.3,S3,sa-east-1,0.276767
61.46,56.73,670.68,6.878,24.0,1.302,90,111.5,RDS,sa-east-1,0.258941
74.32,61.48,36.29,9.575,10.0191,1.531,380,120.8,EC2,us-east-1,0.760643
63.04,83.17,117.1,54.096,5.863,1.467,450,123.3,EC2,ap-northeast-1,1.781676
1.0,22.81,1136.48,83.423,19.8967,1.243,320,4.7,S3,eu-central-1,1.771393
1.0,72.71,514.07,46.732,24.0,1.421,120,205.7,RDS,us-west-2,0.379443
50.0,52.9,555.17,21.501,24.0,1.339,100,46.3,RDS,ca-central-1,0.220891
70.62,100.0,179.99,56.775,5.0596,1.28,120,181.4,EC2,us-west-2,0.495056
72.04,18.23,390.52,9.538,11.1407,1.17,270,136.2,EC2,eu-west-1,0.518261
12.39,19.93,874.23,93.218,30.4355,1.129,450,3.4,S3,ap-northeast-1,2.748607
24.66,77.75,500.21,22.374,24.0,1.269,120,68.0,RDS,us-west-2,0.250577
16.49,18.85,114.32,105.543,44.5594,1.1,90,10.8,S3,sa-east-1,0.583486
10.56,39.07,1.85,0.658,0.0087,1.45,450,32.9,Lambda,ap-northeast-1,0.017697
1.73,24.85,1023.99,21.821,23.2862,1.263,100,6.1,S3,ca-central-1,0.173548
56.97,57.65,147.4,24.27,2.7337,1.448,90,180.0,EC2,sa-east-1,0.171795
5.6,36.46,250.12,0.0,18.7421,1.562,90,5.0,S3,sa-east-1,0.00809
2.58,11.84,1605.08,0.0,9.9751,1.5,430,16.6,S3,ap-southeast-1,0.119337
1.6,84.58,903.81,52.329,24.0,1.431,270,98.8,RDS,eu-west-1,0.947985
7.79,37.02,4.01,0.715,0.0128,1.294,450,13.7,Lambda,ap-northeast-1,0.018754
65.54,89.17,276.54,26.047,2.9812,1.447,270,244.2,EC2,eu-west-1,0.607866
31.3,38.97,0.48,0.26,0.0129,1.511,450,15.7,Lambda,ap-northeast-1,0.00699
6.16,40.81,1143.23,74.303,24.7626,1.168,450,8.5,S3,ap-northeast-1,2.169529
1.0,54.74,2.18,0.4,0.0112,1.587,270,26.5,Lambda,eu-west-1,0.006449
14.53,25.0,1743.59,0.0,15.2978,1.487,270,12.7,S3,eu-west-1,0.130453
1.81,17.74,1653.36,74.746,24.9568,1.504,380,15.3,S3,us-east-1,2.016099
76.24,32.52,220.08,41.166,12.0924,1.324,120,146.5,EC2,us-west-2,0.531125
26.29,19.2,0.0,70.041,31.0921,1.225,430,7.7,S3,ap-southeast-1,1.864917
70.56,76.19,813.06,33.016,24.0,1.384,100,22.8,RDS,ca-central-1,0.286715
57.83,35.94,1.49,0.0,0.0066,1.46,120,42.2,Lambda,us-west-2,0.0001
47.85,1.36,2.79,0.41,0.0056,1.253,450,12.4,Lambda,ap-northeast-1,0.010945
6.33,51.89,450.28,7.616,24.0,1.627,120,57.2,RDS,us-west-2,0.091959
31.72,87.51,522.19,12.237,24.0,1.278,320,164.8,RDS,eu-central-1,0.801067
10.04,18.32,1636.73,91.941,14.6114,1.391,90,8.1,S3,sa-east-1,0.525728
37.47,100.0,549.41,14.562,24.0,1.42,430,137.5,RDS,ap-southeast-1,1.199904
65.87,79.5,0.0,0.0,8.5237,1.456,270,99.0,EC2,eu-west-1,0.218398
16.23,48.9,1.13,0.862,0.001,1.391,430,19.4,Lambda,ap-southeast-1,0.02203
1.0,44.25,2.93,0.627,0.0115,1.399,90,32.4,Lambda,sa-east-1,0.003452
69.3,78.15,272.08,20.742,4.754,1.25,430,241.9,EC2,ap-southeast-1,0.987168
19.18,24.0,1654.2,0.0,24.0273,1.353,120,8.9,S3,us-west-2,0.086456
46.8,92.43,379.59,28.07,24.0,1.356,90,108.5,RDS,sa-east-1,0.311295
48.51,76.13,391.11,22.62,24.0,1.133,100,92.5,RDS,ca-central-1,0.275717
24.65,23.67,0.0,79.285,22.9517,1.48,120,7.4,S3,us-west-2,0.576379
9.25,31.45,3.12,0.893,0.0149,1.323,120,36.5,Lambda,us-west-2,0.00661
22.06,51.59,438.03,9.337,24.0,1.27,430,166.4,RDS,ap-southeast-1,0.776299
74.01,53.83,240.45,24.249,7.8554,1.435,90,180.3,EC2,sa-east-1,0.274795
59.45,,647.42,4.539,24.0,1.344,100,112.9,RDS,ca-central-1,0.264137
17.83,65.26,22.58,28.471,24.0,1.274,320,70.4,RDS,eu-central-1,0.67055
64.92,67.4,351.24,35.353,24.0,1.219,430,72.5,RDS,ap-southeast-1,1.599281
39.4,23.58,4.4,0.493,0.008,1.413,380,27.4,Lambda,us-east-1,0.01096
80.63,56.86,474.16,17.315,24.0,1.262,380,101.5,RDS,us-east-1,1.379355
24.89,26.23,1220.41,18.058,20.4401,,120,7.5,S3,us-west-2,0.192302
48.95,23.41,2.95,0.441,0.0106,1.508,320,40.9,Lambda,eu-central-1,0.008636
47.61,63.68,292.8,58.233,5.3535,,320,88.1,EC2,eu-central-1,1.265611
37.58,12.44,2.21,0.827,0.0075,1.337,430,35.6,Lambda,ap-southeast-1,0.021694
17.71,43.77,184.19,74.521,18.0087,1.154,90,56.3,EC2,sa-east-1,0.428499
25.68,45.66,2.78,0.62,0.0169,1.268,430,17.5,Lambda,ap-southeast-1,0.016444
18.24,17.09,874.62,,23.5966,1.1,120,1.7,S3,us-west-2,0.71302
45.88,42.49,0.75,0.832,0.014,1.265,380,29.1,Lambda,us-east-1,0.018645
23.88,55.1,161.11,60.842,9.2709,1.428,100,24.3,EC2,ca-central-1,0.379927
17.16,82.71,473.14,25.44,24.0,1.506,450,148.9,RDS,ap-northeast-1,1.215569
38.46,61.74,460.73,4.476,24.0,1.327,270,101.9,RDS,eu-west-1,0.460648
51.21,37.79,3.09,0.0,0.0093,1.703,320,34.5,Lambda,eu-central-1,0.0001
26.23,79.66,821.93,17.541,24.0,1.416,100,111.1,RDS,ca-central-1,0.242582
17.07,34.38,2.31,0.365,0.0148,1.358,270,50.0,Lambda,eu-west-1,0.006119
13.08,48.37,1.23,0.589,0.0182,1.471,320,19.1,Lambda,eu-central-1,0.011522
49.95,70.16,59.94,56.173,0.001,1.418,100,171.3,EC2,ca-central-1,0.342354
80.8,55.29,8.3,0.0,2.8566,1.244,100,157.2,EC2,ca-central-1,0.045037
86.05,36.72,94.98,57.242,8.8485,1.534,90,113.9,EC2,sa-east-1,0.429232
15.59,31.26,74.6,0.0,23.8405,1.523,430,7.7,S3,ap-southeast-1,0.031885
1.0,26.8,1313.67,42.444,21.9785,1.416,270,12.9,S3,eu-west-1,0.801563
37.59,42.28,0.0,39.921,4.9128,1.532,320,208.3,EC2,eu-central-1,0.941954
60.46,67.99,665.31,47.699,24.0,1.377,120,93.6,RDS,us-west-2,0.586298
74.94,33.5,2.47,0.542,0.0103,1.495,430,24.2,Lambda,ap-southeast-1,0.014423
62.68,68.99,154.86,23.117,13.7471,1.44,120,72.2,EC2,us-west-2,0.273931
71.06,49.91,235.92,10.45,3.859,1.617,320,259.2,EC2,eu-central-1,0.561845
2.62,16.46,2298.72,0.0,33.7967,1.382,320,12.3,S3,eu-central-1,0.424638
61.29,59.96,0.0,0.0,4.1385,1.467,380,174.9,EC2,us-east-1,0.254574
67.08,74.54,669.0,3.488,24.0,1.265,450,78.6,RDS,ap-northeast-1,0.929305
29.82,70.5,809.32,21.628,24.0,1.406,430,75.1,RDS,ap-southeast-1,1.014134
36.18,26.95,2381.47,53.857,21.916,1.268,450,19.7,S3,ap-northeast-1,1.996057
35.19,71.33,437.52,22.33,8.4064,1.508,430,95.1,EC2,ap-southeast-1,0.799304
20.71,61.99,734.02,21.128,24.0,1.497,450,43.7,RDS,ap-northeast-1,0.857919
26.81,42.23,0.93,0.233,0.0129,1.265,90,35.0,Lambda,sa-east-1,0.001306
50.22,44.73,30.28,50.908,18.7787,1.354,380,53.9,EC2,us-east-1,1.425808
30.38,44.28,2.57,0.68,0.0158,1.289,320,25.6,Lambda,eu-central-1,0.013028
34.09,14.27,2.17,0.432,0.0103,1.374,270,43.1,Lambda,eu-west-1,0.007215
94.3,65.5,0.0,20.959,24.0,1.305,100,74.0,RDS,ca-central-1,0.335404
15.19,45.16,1.35,0.0,0.001,1.385,320,30.5,Lambda,eu-central-1,0.0001
53.5,9.35,1.31,0.481,0.0121,1.282,90,20.3,Lambda,sa-east-1,0.002554
29.73,41.05,1.27,0.04,0.0101,1.459,450,23.7,Lambda,ap-northeast-1,0.001127
24.12,66.87,347.87,2.434,24.0,1.495,450,94.9,RDS,ap-northeast-1,0.506007
32.08,34.4,1.98,0.759,0.008,1.254,430,28.3,Lambda,ap-southeast-1,0.019193
5.06,19.69,45.55,48.396,40.4845,1.49,430,1.0,S3,ap-southeast-1,1.261604
37.74,44.25,231.06,58.558,9.4244,1.216,430,13.4,EC2,ap-southeast-1,1.545855
53.23,76.58,241.48,49.987,14.0724,1.273,380,234.6,EC2,us-east-1,2.014246
16.68,20.89,1072.03,59.478,22.1681,1.295,430,18.6,S3,ap-southeast-1,1.701764
28.95,89.48,704.08,37.367,24.0,1.296,270,60.8,RDS,eu-west-1,0.810607
29.1,19.37,3.31,0.124,0.013,1.29,450,38.8,Lambda,ap-northeast-1,0.003362
56.04,59.49,3.46,1.04,0.0102,1.439,320,24.2,Lambda,eu-central-1,0.020216
20.93,25.57,0.0,0.0,19.2418,1.116,120,8.9,S3,us-west-2,0.004861
27.9,28.37,0.66,0.774,0.0092,1.386,320,32.1,Lambda,eu-central-1,0.015205
60.32,75.08,178.99,52.215,14.0687,1.438,100,101.2,EC2,ca-central-1,0.445184
18.26,20.3,1650.15,73.116,23.3129,1.354,90,9.5,S3,sa-east-1,0.468005
25.16,100.0,211.76,75.284,0.001,1.425,450,214.5,EC2,ap-northeast-1,2.078246
8.78,24.78,1662.76,12.931,23.843,1.505,380,8.7,S3,us-east-1,0.551442
29.43,49.4,0.89,0.583,0.0074,1.525,430,44.5,Lambda,ap-southeast-1,0.014667
3.75,12.87,1.18,0.0,0.0059,1.421,120,25.5,Lambda,us-west-2,0.0001
61.77,90.26,114.05,34.528,13.8327,1.25,450,104.9,EC2,ap-northeast-1,1.446985
43.16,21.24,3.63,0.787,0.0194,1.275,270,48.6,Lambda,eu-west-1,0.01314
71.56,80.09,302.31,0.0,12.7391,1.446,100,111.0,EC2,ca-central-1,0.149695
6.57,18.65,1151.88,73.07,13.0763,1.573,380,12.4,S3,us-east-1,1.800004
4.23,31.47,0.0,0.0,33.5891,1.392,100,8.5,S3,ca-central-1,0.001664
26.81,50.43,3.03,0.442,0.0109,1.306,270,11.0,Lambda,eu-west-1,0.007294
50.04,12.77,1.62,0.0,0.011,1.331,90,29.5,Lambda,sa-east-1,0.0001
48.87,13.04,2.35,0.536,0.0071,1.233,380,34.0,Lambda,us-east-1,0.0121
27.15,57.4,970.43,12.109,24.0,1.348,450,63.1,RDS,ap-northeast-1,0.734734
42.54,12.38,2.25,0.526,0.0049,1.434,270,12.4,Lambda,eu-west-1,0.008305
46.93,,670.12,0.003,24.0,1.64,90,63.2,RDS,sa-east-1,0.133413
28.83,65.27,689.89,13.256,24.0,1.472,320,82.9,RDS,eu-central-1,0.600701
100.0,29.09,3.81,0.475,0.0119,1.251,320,31.5,Lambda,eu-central-1,0.009266
46.03,96.18,93.39,31.844,2.8281,1.518,430,256.2,EC2,ap-southeast-1,1.038624
46.14,60.57,346.87,37.429,24.0,1.258,270,124.1,RDS,eu-west-1,1.112549
37.79,77.67,481.69,8.962,24.0,1.36,90,112.7,RDS,sa-east-1,0.191169
62.03,55.77,1.43,0.0,0.0165,1.374,100,35.1,Lambda,ca-central-1,0.0001
68.76,78.05,134.27,21.766,24.0,1.468,430,130.6,RDS,ap-southeast-1,1.924315
21.56,17.34,587.43,61.919,19.6279,1.441,430,12.4,S3,ap-southeast-1,1.678588
30.28,73.06,656.39,20.087,24.0,1.382,450,107.7,RDS,ap-northeast-1,1.161012
54.1,38.6,159.96,74.823,8.1636,1.377,120,134.7,EC2,us-west-2,0.654649
19.87,46.93,3.81,0.605,0.0115,1.314,450,32.7,Lambda,ap-northeast-1,0.016702
5.89,68.63,797.81,28.187,24.0,1.249,380,10.4,RDS,us-east-1,0.78847
25.87,26.79,2.76,0.877,0.001,1.168,380,23.4,Lambda,us-east-1,0.020411
27.44,20.38,367.95,97.787,26.9795,1.215,450,10.7,S3,ap-northeast-1,2.68817
10.98,25.24,2100.69,90.502,30.2202,1.118,450,7.5,S3,ap-northeast-1,2.89092
16.26,30.29,1533.97,1.516,29.7889,1.45,380,3.4,S3,us-east-1,0.347162
5.34,21.5,1112.66,94.024,5.7841,1.38,270,1.5,S3,eu-west-1,1.516626
43.73,66.67,725.18,22.94,24.0,1.388,380,116.9,RDS,us-east-1,1.305879
62.77,62.1,601.85,10.313,24.0,1.241,430,126.4,RDS,ap-southeast-1,1.365943
46.84,41.72,733.77,35.752,24.0,1.246,380,88.1,RDS,us-east-1,1.36028
53.57,83.49,720.29,10.26,24.0,1.36,320,136.1,RDS,eu-central-1,1.083763
28.32,20.32,3.16,0.58,0.0117,1.427,430,30.4,Lambda,ap-southeast-1,0.015311
58.07,100.0,942.22,14.72,24.0,1.456,90,27.6,RDS,sa-east-1,0.163936
49.6,88.33,734.86,5.518,24.0,1.354,430,170.0,RDS,ap-southeast-1,1.43902
63.48,62.58,543.63,32.676,11.0557,1.337,270,238.7,EC2,eu-west-1,1.152362
41.31,66.7,127.98,6.585,24.0,1.27,450,17.3,RDS,ap-northeast-1,0.299514
67.11,23.45,2.38,0.446,0.0237,1.257,380,34.8,Lambda,us-east-1,0.010503
41.11,71.55,822.84,14.013,24.0,1.272,430,13.5,RDS,ap-southeast-1,0.575142
61.63,67.28,776.37,11.864,24.0,1.367,270,130.9,RDS,eu-west-1,1.003521
24.63,18.35,1.69,0.956,0.0056,1.291,320,7.9,Lambda,eu-central-1,0.017895
52.8,31.63,3.18,0.0,0.0158,1.375,270,42.3,Lambda,eu-west-1,0.000134
60.18,70.88,306.33,60.172,24.0,1.292,450,70.2,RDS,ap-northeast-1,2.208148
15.81,73.19,270.65,51.14,14.4366,,450,201.3,EC2,ap-northeast-1,1.712145
40.09,55.22,273.3,0.0,10.6403,1.267,450,236.0,EC2,ap-northeast-1,0.599099
79.64,50.59,1.75,,0.0174,1.234,270,20.1,Lambda,eu-west-1,0.002226
36.4,48.81,285.87,36.655,24.0,1.208,120,148.5,RDS,us-west-2,0.468946
87.28,25.76,2.01,0.357,0.0043,1.338,90,29.5,Lambda,sa-east-1,0.001889
50.23,13.04,1.65,0.472,0.001,1.377,270,26.4,Lambda,eu-west-1,0.007829
14.21,47.71,554.99,2.296,24.0,1.539,120,121.2,RDS,us-west-2,0.122381
17.5,9.37,307.97,52.445,13.9084,1.409,270,5.6,S3,eu-west-1,0.866468
41.56,53.38,587.56,33.492,24.0,1.585,100,91.8,RDS,ca-central-1,0.36344
77.55,59.46,236.14,36.647,0.3774,1.562,90,115.9,EC2,sa-east-1,0.207304
47.76,65.04,181.31,0.685,12.3658,1.348,450,110.1,EC2,ap-northeast-1,0.439519
18.91,5.52,419.78,59.619,29.1183,1.1,100,5.8,S3,ca-central-1,0.381821
69.85,28.26,3.17,0.439,0.0175,1.334,380,34.1,Lambda,us-east-1,0.010219
65.09,74.14,3.1,0.377,0.0148,1.26,430,27.6,Lambda,ap-southeast-1,0.009787
17.64,21.32,2.52,0.715,0.0143,1.401,380,24.6,Lambda,us-east-1,0.016592
33.12,,563.55,7.696,24.0,1.347,380,118.0,RDS,us-east-1,0.738863
35.22,24.03,2.03,0.683,0.0093,1.294,100,31.1,Lambda,ca-central-1,0.004109
34.51,31.42,1.29,0.201,0.0092,1.258,320,30.8,Lambda,eu-central-1,0.00384
41.9,80.51,37.76,18.012,24.0,1.359,100,88.9,RDS,ca-central-1,0.232538
55.46,44.62,350.56,84.687,8.0398,1.195,270,170.1,EC2,eu-west-1,1.641834
22.89,81.73,570.97,40.546,24.0,1.211,320,133.7,RDS,eu-central-1,1.156639
41.63,1.0,1.05,,0.0117,1.352,320,29.7,Lambda,eu-central-1,0.005974
18.54,57.51,2.73,0.354,0.0061,1.473,380,27.3,Lambda,us-east-1,0.008268
41.73,55.93,497.25,69.219,7.6723,1.191,270,195.4,EC2,eu-west-1,1.356308
53.06,18.67,0.94,0.818,0.0103,1.374,100,31.9,Lambda,ca-central-1,0.004972
32.88,43.16,2.02,0.068,0.001,1.325,380,28.8,Lambda,us-east-1,0.001533
69.7,65.2,388.82,51.557,24.0,1.317,380,84.1,RDS,us-east-1,1.960977
62.3,46.64,321.51,56.879,14.373,1.186,430,124.9,EC2,ap-southeast-1,2.058601
48.85,67.78,0.0,21.785,24.0,1.167,450,64.9,RDS,ap-northeast-1,0.959014
22.32,66.73,0.0,18.839,24.0,1.352,450,1.0,RDS,ap-northeast-1,0.51082
85.36,73.24,536.23,43.214,24.0,1.321,120,142.1,RDS,us-west-2,0.787922
48.84,84.71,576.67,34.83,24.0,1.188,90,70.3,RDS,sa-east-1,0.305833
21.7,26.77,683.34,42.815,16.5097,1.261,270,1.0,S3,eu-west-1,0.745893
7.03,13.05,1041.3,41.771,28.2967,1.272,320,9.8,S3,eu-central-1,0.954237
51.78,55.09,597.71,14.456,24.0,1.194,100,115.7,RDS,ca-central-1,0.285822
30.78,26.39,0.0,63.203,21.8962,1.424,380,8.8,S3,us-east-1,1.434484
33.22,57.2,200.57,0.0,10.9229,1.286,120,152.3,EC2,us-west-2,0.088545
45.62,78.75,1.92,0.44,0.0072,1.202,450,11.1,Lambda,ap-northeast-1,0.011686
19.48,23.71,660.98,0.0,26.6548,1.264,320,10.2,S3,eu-central-1,0.118209
43.93,45.97,2.57,0.475,0.0101,1.201,450,24.2,Lambda,ap-northeast-1,0.013039
28.92,31.75,994.92,112.49,14.3749,1.424,450,11.2,S3,ap-northeast-1,3.124677
12.93,13.04,1571.28,43.847,27.7566,1.245,430,4.6,S3,ap-southeast-1,1.417649
7.04,23.39,0.0,0.0,11.4692,1.38,320,6.2,S3,eu-central-1,0.002273
16.5,31.92,0.0,105.148,27.2518,1.201,120,7.0,S3,us-west-2,0.749766
1.84,35.65,0.46,1.095,0.0091,1.416,120,32.1,Lambda,us-west-2,0.008007
41.34,27.79,675.67,35.564,35.2884,1.1,430,8.5,S3,ap-southeast-1,1.130444
43.99,41.53,201.67,47.741,10.2194,1.502,90,128.0,EC2,sa-east-1,0.345568
47.62,78.67,263.4,32.737,3.2391,1.476,320,194.4,EC2,eu-central-1,0.764768
21.9,1.0,176.05,20.039,15.8144,1.496,430,6.3,S3,ap-southeast-1,0.563014
23.21,9.38,1463.71,31.589,30.9088,1.214,120,4.0,S3,us-west-2,0.331737
76.49,1.0,3.8,0.615,0.0111,1.408,320,24.0,Lambda,eu-central-1,0.011959
9.31,4.12,1642.69,51.333,31.7631,1.235,90,14.0,S3,sa-east-1,0.361812
66.64,84.93,826.24,33.862,24.0,1.299,380,132.6,RDS,us-east-1,1.983441
68.53,36.62,340.63,45.84,13.291,1.361,380,76.7,EC2,us-east-1,1.435129
19.54,14.65,951.77,68.192,35.5554,1.443,120,6.4,S3,us-west-2,0.578563
34.97,92.75,240.35,36.091,6.8103,1.516,380,152.4,EC2,us-east-1,1.036123
3.83,9.88,480.49,80.884,30.4789,1.483,270,11.9,S3,eu-west-1,1.41071
34.35,20.7,118.57,99.991,15.9802,1.168,270,6.8,S3,eu-west-1,1.623996
41.3,57.27,472.0,13.564,12.6599,1.298,320,107.8,EC2,eu-central-1,0.523023
41.73,90.81,656.29,42.805,24.0,1.291,380,145.9,RDS,us-east-1,1.75132
44.86,29.97,427.04,14.666,8.3874,1.273,90,70.3,EC2,sa-east-1,0.113919
79.03,57.57,461.59,34.227,24.0,1.196,100,73.5,RDS,ca-central-1,0.401845
14.17,21.86,2198.87,99.91,17.4982,1.493,100,11.0,S3,ca-central-1,0.673352
75.27,71.8,241.52,71.608,6.9254,1.437,270,57.8,EC2,eu-west-1,1.29853
45.88,66.16,467.07,27.462,24.0,1.304,380,86.9,RDS,us-east-1,1.184787
53.41,57.03,556.9,0.0,24.0,1.297,450,94.4,RDS,ap-northeast-1,0.805198
55.32,58.44,321.13,5.669,14.4518,1.393,270,244.1,EC2,eu-west-1,0.822396
20.68,13.01,759.36,114.599,37.6401,1.47,380,5.6,S3,us-east-1,2.751129
53.16,76.79,925.11,30.22,24.0,1.369,100,44.0,RDS,ca-central-1,0.288196
82.8,38.08,2.28,0.743,0.0014,1.318,380,37.7,Lambda,us-east-1,0.017134
87.83,58.74,15.39,0.0,24.0,1.415,270,133.2,RDS,eu-west-1,1.046189
44.61,25.42,2.0,0.738,0.0065,1.348,100,12.3,Lambda,ca-central-1,0.004328
32.49,9.82,1434.16,8.446,20.0611,1.366,270,6.5,S3,eu-west-1,0.287677
16.65,9.92,0.0,0.0,24.7968,1.414,320,4.4,S3,eu-central-1,0.008174
31.64,85.08,712.29,20.136,24.0,1.478,90,54.2,RDS,sa-east-1,0.189638
1.0,43.35,2.16,0.383,0.0109,1.541,380,38.5,Lambda,us-east-1,0.008797
35.24,69.63,216.82,73.616,11.7191,1.316,100,87.8,EC2,ca-central-1,0.48942
53.5,71.59,679.96,17.809,24.0,1.279,270,38.9,RDS,eu-west-1,0.52737
